Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Hewitt, G",,,,"Hewitt, G",,,The genetic legacy of the Quaternary ice ages,NATURE,,,,,,,,,,,,"Global climate has fluctuated greatly during the past three million years, leading to the recent major ice ages. An inescapable consequence for most living organisms is great changes in their distribution, which are expressed differently in boreal, temperate and tropical zones. Such range changes can be expected to have genetic consequences, and the advent of DNA technology provides most suitable markers to examine these. Several good data sets are now available, which provide tests of expectations, insights into species colonization and unexpected genetic subdivision and mixture of species. The genetic structure of human populations may be viewed in the same context. The present genetic structure of populations, species and communities has been mainly formed by Quaternary ice ages, and genetic, fossil and physical data combined can greatly help our understanding of how organisms were so affected.",,,,,,,,,,,,,,,,,0028-0836,1476-4687,,,,JUN 22,2000,405,6789,,,,,907,913,,10.1038/35016000,,,,,,,WOS:000087732700039,10879524,,,,,
J,"Sakai, AK; Allendorf, FW; Holt, JS; Lodge, DM; Molofsky, J; With, KA; Baughman, S; Cabin, RJ; Cohen, JE; Ellstrand, NC; McCauley, DE; O'Neil, P; Parker, IM; Thompson, JN; Weller, SG",,,,"Sakai, AK; Allendorf, FW; Holt, JS; Lodge, DM; Molofsky, J; With, KA; Baughman, S; Cabin, RJ; Cohen, JE; Ellstrand, NC; McCauley, DE; O'Neil, P; Parker, IM; Thompson, JN; Weller, SG",,,The population biology of invasive species,ANNUAL REVIEW OF ECOLOGY AND SYSTEMATICS,,,,,,,,,,,,"Contributions from the field of population biology hold promise for understanding and managing invasiveness; invasive species also offer excellent opportunities to study basic processes in population biology. Life history studies and demographic models may be valuable for examining the introduction of invasive species and identifying life history stages where management will be most effective. Evolutionary processes may be key features in determining whether invasive species establish and spread. Studies of genetic diversity and evolutionary changes should be useful for understanding the potential for colonization and establishment, geographic patterns of invasion and range expansion, lag times, and the potential for evolutionary responses to novel environments, including management practices. The consequences of biological invasions permit study of basic evolutionary processes, as invaders often evolve rapidly in response to novel abiotic and biotic conditions, and native species evolve in response to the invasion.",,,,"Ross, Donald J/F-7607-2012; With, Kimberly/AAA-2637-2021; Parker, Ingrid M./ABH-2014-2020; With, Kimberly/J-5124-2014","Ross, Donald J/0000-0002-8659-3833; Parker, Ingrid M./0000-0002-4847-1827; With, Kimberly/0000-0001-5570-1515",,,,,,,,,,,,0066-4162,,,,,,2001,32,,,,,,305,332,,10.1146/annurev.ecolsys.32.081501.114037,,,,,,,WOS:000172908800011,,,,,,
J,"Wiens, JJ; Graham, CH",,,,"Wiens, JJ; Graham, CH",,,"Niche conservatism: Integrating evolution, ecology, and conservation biology",ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,Annual Review of Ecology Evolution and Systematics,,,,,,,,,,,"Niche conservatism is the tendency of species to retain ancestral ecological characteristics. In the recent literature, a debate has emerged as to whether niches are conserved. We suggest that simply testing whether niches are conserved is not by itself particularly helpful or interesting and that a more useful focus is on the patterns that niche conservatism may (or may not) create. We focus specifically on how niche conservatism in climatic tolerances may limit geographic range expansion and how this one type of niche conservatism may be important in (a) allopatric speciation, (b) historical biogeography, (c) patterns of species richness, (d) community structure, (e) the spread of invasive, human-introduced species, (f) responses of species to global climate change, and (g) human history, from 13,000 years ago to the present. We describe how these effects of niche conservatism can be examined with new tools for ecological niche modeling.",,,,"Graham, Catherine/A-9560-2011","Graham, Catherine/0000-0001-9267-7948; Wiens, John/0000-0003-4243-1127",,,,,,,,,,,,1543-592X,1545-2069,,,,,2005,36,,,,,,519,539,,10.1146/annurev.ecolsys.36.102803.095431,,,,,,,WOS:000234684900022,,,,,,
J,"Damnjanovic, A; Montojo, J; Wei, YB; Ji, TF; Luo, T; Vajapeyam, M; Yoo, T; Song, O; Malladi, D",,,,"Damnjanovic, Aleksandar; Montojo, Juan; Wei, Yongbin; Ji, Tingfang; Luo, Tao; Vajapeyam, Madhavan; Yoo, Taesang; Song, Osok; Malladi, Durga",,,A SURVEY ON 3GPP HETEROGENEOUS NETWORKS,IEEE WIRELESS COMMUNICATIONS,,,,,,,,,,,,"As the spectral efficiency of a point-to-point link in cellular networks approaches its theoretical limits, with the forecasted explosion of data traffic, there is a need for an increase in the node density to further improve network capacity. However, in already dense deployments in today's networks, cell splitting gains can be severely limited by high inter-cell interference. Moreover, high capital expenditure cost associated with high power macro nodes further limits viability of such an approach. This article discusses the need for an alternative strategy, where low power nodes are overlaid within a macro network, creating what is referred to as a heterogeneous network. We survey current state of the art in heterogeneous deployments and focus on 3GPP LTE air interface to describe future trends. A high-level overview of the 3GPP LTE air interface, network nodes, and spectrum allocation options is provided, along with the enabling mechanisms for heterogeneous deployments. Interference management techniques that are critical for LTE heterogeneous deployments are discussed in greater detail. Cell range expansion, enabled through cell biasing and adaptive resource partitioning, is seen as an effective method to balance the load among the nodes in the network and improve overall trunking efficiency. An interference cancellation receiver plays a crucial role in ensuring acquisition of weak cells and reliability of control and data reception in the presence of legacy signals.",,,,,,,,,,,,,,,,,1536-1284,,,,,JUN,2011,18,3,,,,,10,21,,10.1109/MWC.2011.5876496,,,,,,,WOS:000291820500004,,,,,,
J,"Templeton, AR",,,,"Templeton, AR",,,Nested clade analyses of phylogeographic data: testing hypotheses about gene flow and population history,MOLECULAR ECOLOGY,,,,,,,,,,,,"Since the 1920s, population geneticists have had measures that describe how genetic variation is distributed spatially within a species' geographical range. Modern genetic survey techniques frequently yield information on the evolutionary relationships among the alleles or haplotypes as well as information on allele frequencies and their spatial distributions. This evolutionary information is often expressed in the form of an estimated haplotype or allele tree. Traditional statistics of population structure, such as F statistics, do not make use of evolutionary genealogical information, so it is necessary to develop new statistical estimators and tests that explicitly incorporate information from the haplotype tree. One such technique is to use the haplotype tree to define a nested series of branches (clades), thereby allowing an evolutionary nested analysis of the spatial distribution of genetic variation. Such a nested analysis can be performed regarding the geographical sampling locations either as categorical or continuous variables (i.e. some measure of spatial distance). It is shown that such nested phylogeographical analyses have more power to detect geographical associations than traditional, nonhistorical analyses and, as a consequence, allow a broader range of gene-flow parameters to be estimated in a precise fashion. More importantly, such nested analyses can discriminate between phylogeographical. associations due to recurrent but restricted gene flow vs. historical events operating at the population level (e.g. past fragmentation, colonization, or range expansion events). Restricted gene flow and historical events can be intertwined, and the cladistic analyses can reconstruct their temporal juxtapositions, thereby yielding great insight into both the evolutionary history and population structure of the species. Examples are given that illustrate these properties, concentrating on the detection of range expansion events.",,,,"Templeton, Alan R./F-5963-2011","Templeton, Alan/0000-0002-0167-845X",,,,,,,,,,,,0962-1083,,,,,APR,1998,7,4,,,,,381,397,,10.1046/j.1365-294x.1998.00308.x,,,,,,,WOS:000073797200003,9627999,,,,,
J,"TEMPLETON, AR; ROUTMAN, E; PHILLIPS, CA",,,,"TEMPLETON, AR; ROUTMAN, E; PHILLIPS, CA",,,"SEPARATING POPULATION-STRUCTURE FROM POPULATION HISTORY - A CLADISTIC-ANALYSIS OF THE GEOGRAPHICAL-DISTRIBUTION OF MITOCHONDRIAL-DNA HAPLOTYPES IN THE TIGER SALAMANDER, AMBYSTOMA-TIGRINUM",GENETICS,,,,,,,,,,,,"Nonrandom associations of alleles or haplotypes with geographical location can arise from restricted gene flow historical events (fragmentation, range expansion, colonization), or any mixture of these factors. In this paper, we show how a nested cladistic analysis of geographical distances can be used to test the null hypothesis of no geographical association of haplotypes, test the hypothesis that significant associations are due to restricted gene flow, and identify patterns of significant association that are due to historical events. In this last case, criteria are given to discriminate among contiguous range expansion, long-distance colonization, and population fragmentation. The ability to make these discriminations depends critically upon an adequate geographical sampling design. These points are illustrated with a worked example: mitochondrial DNA haplotypes in the salamander Ambystoma tigrinum. For this example, prior information exists about restricted gene flow and likely historical events, and the nested cladistic analyses were completely concordant with this prior information. This concordance establishes the plausibility of this nested cladistic approach, but much future work will be necessary to demonstrate robustness and to explore the power and accuracy of this procedure.",,,,"Templeton, Alan R./F-5963-2011","Templeton, Alan/0000-0002-0167-845X",,,,,,,,,,,,1943-2631,,,,,JUN,1995,140,2,,,,,767,782,,,,,,,,,WOS:A1995RA36600030,7498753,,,,,
J,"Kraemer, MUG; Sinka, ME; Duda, KA; Mylne, AQN; Shearer, FM; Barker, CM; Moore, CG; Carvalho, RG; Coelho, GE; Van Bortel, W; Hendrickx, G; Schaffner, F; Elyazar, IRF; Teng, HJ; Brady, OJ; Messina, JP; Pigott, DM; Scott, TW; Smith, DL; Wint, GRW; Golding, N; Hay, SI",,,,"Kraemer, Moritz U. G.; Sinka, Marianne E.; Duda, Kirsten A.; Mylne, Adrian Q. N.; Shearer, Freya M.; Barker, Christopher M.; Moore, Chester G.; Carvalho, Roberta G.; Coelho, Giovanini E.; Van Bortel, Wim; Hendrickx, Guy; Schaffner, Francis; Elyazar, Iqbal R. F.; Teng, Hwa-Jen; Brady, Oliver J.; Messina, Jane P.; Pigott, David M.; Scott, Thomas W.; Smith, David L.; Wint, G. R. William; Golding, Nick; Hay, Simon I.",,,The global distribution of the arbovirus vectors Aedes aegypti and Ae. albopictus,ELIFE,,,,,,,,,,,,"Dengue and chikungunya are increasing global public health concerns due to their rapid geographical spread and increasing disease burden. Knowledge of the contemporary distribution of their shared vectors, Aedes aegypti and Aedes albopictus remains incomplete and is complicated by an ongoing range expansion fuelled by increased global trade and travel. Mapping the global distribution of these vectors and the geographical determinants of their ranges is essential for public health planning. Here we compile the largest contemporary database for both species and pair it with relevant environmental variables predicting their global distribution. We show Aedes distributions to be the widest ever recorded; now extensive in all continents, including North America and Europe. These maps will help define the spatial limits of current autochthonous transmission of dengue and chikungunya viruses. It is only with this kind of rigorous entomological baseline that we can hope to project future health impacts of these viruses.",,,,"Brady, Oliver/P-9421-2019; Smith, David L/L-8850-2013; Hay, Simon I/F-8967-2015; Barker, Christopher/K-1415-2018; Golding, Nick/ABD-1572-2020","Brady, Oliver/0000-0002-3235-2129; Smith, David L/0000-0003-4367-3849; Hay, Simon I/0000-0002-0611-7272; Barker, Christopher/0000-0002-7941-346X; Schaffner, Francis/0000-0001-9166-7617; Pigott, David/0000-0002-6731-4034; Shearer, Freya/0000-0001-9600-3473; Van Bortel, Wim/0000-0002-6644-518X; Golding, Nick/0000-0001-8916-5570; Wint, William/0000-0003-0916-0847",,,,,,,,,,,,2050-084X,,,,,JUN 30,2015,4,,,,,,,,e08347,10.7554/eLife.08347,,,,,,,WOS:000372191700001,26126267,,,,,
J,"Walther, GR; Roques, A; Hulme, PE; Sykes, MT; Pysek, P; Kuhn, I; Zobel, M; Bacher, S; Botta-Dukat, Z; Bugmann, H; Czucz, B; Dauber, J; Hickler, T; Jarosik, V; Kenis, M; Klotz, S; Minchin, D; Moora, M; Nentwig, W; Ott, J; Panov, VE; Reineking, B; Robinet, C; Semenchenko, V; Solarz, W; Thuiller, W; Vila, M; Vohland, K; Settele, J",,,,"Walther, Gian-Reto; Roques, Alain; Hulme, Philip E.; Sykes, Martin T.; Pysek, Petr; Kuehn, Ingolf; Zobel, Martin; Bacher, Sven; Botta-Dukat, Zoltan; Bugmann, Harald; Czucz, Balint; Dauber, Jens; Hickler, Thomas; Jarosik, Vojtech; Kenis, Marc; Klotz, Stefan; Minchin, Dan; Moora, Mari; Nentwig, Wolfgang; Ott, Juergen; Panov, Vadim E.; Reineking, Bjoern; Robinet, Christelle; Semenchenko, Vitaliy; Solarz, Wojciech; Thuiller, Wilfried; Vila, Montserrat; Vohland, Katrin; Settele, Josef",,,Alien species in a warmer world: risks and opportunities,TRENDS IN ECOLOGY & EVOLUTION,,,,,,,,,,,,"Climate change and biological invasions are key processes affecting global biodiversity, yet their effects have usually been considered separately. Here, we emphasise that global warming has enabled alien species to expand into regions in which they previously could not survive and reproduce. Based on a review of climate-mediated biological invasions of plants, invertebrates, fishes and birds, we discuss the ways in which climate change influences biological invasions. We emphasise the role of alien species in a more dynamic context of shifting species' ranges and changing communities. Under these circumstances, management practices regarding the occurrence of 'new' species could range from complete eradication to tolerance and even consideration of the 'new' species as an enrichment of local biodiversity and key elements to maintain ecosystem services.",,,,"Vila, Montserrat/D-9339-2013; Pysek, Petr/B-1957-2012; Settele, Josef/A-6371-2009; Zobel, Martin/H-1336-2015; Thuiller, Wilfried/G-3283-2010; Hickler, Thomas/S-6287-2016; Klotz, Stefan/J-5866-2017; Czucz, Balint/AAV-4142-2020; Hulme, Philip/F-7454-2011; Zobel, Martin/AAL-4336-2021; Bacher, Sven/F-5431-2010; Botta-Dukat, Zoltan/B-2911-2015; Moora, Mari/D-1961-2009; Nentwig, Wolfgang/A-6624-2011; Vohland, Katrin/AAV-1393-2020; Kuhn, Ingolf/B-9756-2009; Bugmann, Harald/A-1252-2008","Vila, Montserrat/0000-0003-3171-8261; Settele, Josef/0000-0002-8624-4983; Zobel, Martin/0000-0001-7957-6704; Thuiller, Wilfried/0000-0002-5388-5274; Hickler, Thomas/0000-0002-4668-7552; Klotz, Stefan/0000-0003-4355-6415; Czucz, Balint/0000-0002-6462-7633; Hulme, Philip/0000-0001-5712-0474; Zobel, Martin/0000-0001-7957-6704; Bacher, Sven/0000-0001-5147-7165; Botta-Dukat, Zoltan/0000-0002-9544-3474; Moora, Mari/0000-0002-4819-7506; Kuhn, Ingolf/0000-0003-1691-8249; Bugmann, Harald/0000-0003-4233-0094; Reineking, Bjorn/0000-0001-5277-9181; Vohland, Katrin/0000-0002-7214-7015; SOLARZ, WOJCIECH/0000-0002-9459-2144; Robinet, Christelle/0000-0002-4933-4656",,,,,,,,,,,,0169-5347,1872-8383,,,,DEC,2009,24,12,,,,,686,693,,10.1016/j.tree.2009.06.008,,,,,,,WOS:000272278000007,19712994,,,,,
J,"Ye, QY; Rong, BY; Chen, YD; Al-Shalash, M; Caramanis, C; Andrews, JG",,,,"Ye, Qiaoyang; Rong, Beiyu; Chen, Yudong; Al-Shalash, Mazin; Caramanis, Constantine; Andrews, Jeffrey G.",,,User Association for Load Balancing in Heterogeneous Cellular Networks,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,,,,,,,,,,,,"For small cell technology to significantly increase the capacity of tower-based cellular networks, mobile users will need to be actively pushed onto the more lightly loaded tiers (corresponding to, e.g., pico and femtocells), even if they offer a lower instantaneous SINR than the macrocell base station (BS). Optimizing a function of the long-term rate for each user requires (in general) a massive utility maximization problem over all the SINRs and BS loads. On the other hand, an actual implementation will likely resort to a simple biasing approach where a BS in tier j is treated as having its SINR multiplied by a factor A(j) >= 1, which makes it appear more attractive than the heavily-loaded macrocell. This paper bridges the gap between these approaches through several physical relaxations of the network-wide association problem, whose solution is NP hard. We provide a low-complexity distributed algorithm that converges to a near-optimal solution with a theoretical performance guarantee, and we observe that simple per-tier biasing loses surprisingly little, if the bias values A(j) are chosen carefully. Numerical results show a large (3.5x) throughput gain for cell-edge users and a 2x rate gain for median users relative to a maximizing received power association.",,,,,"Caramanis, Constantine/0000-0001-9939-8378",,,,,,,,,,,,1536-1276,,,,,JUN,2013,12,6,,,,,2706,2716,,10.1109/TWC.2013.040413.120676,,,,,,,WOS:000321201200016,,,,,,
J,"Excoffier, L; Foll, M; Petit, RJ",,,,"Excoffier, Laurent; Foll, Matthieu; Petit, Remy J.",,,Genetic Consequences of Range Expansions,ANNUAL REVIEW OF ECOLOGY EVOLUTION AND SYSTEMATICS,Annual Review of Ecology Evolution and Systematics,,,,,,,,,,,"Although range expansions have Occurred recurrently in the history of most species, their genetic consequences have been little investigated. Theoretical studies show that range expansions are quite different from pure demographic expansions and that the extent of recent gene flow conditions expected patterns of molecular diversity within and between populations. Spatially explicit simulation studies have led to unexpected and fascinating results about genetic patterns emerging after a range expansion. For instance, spatial expansions can generate allele frequency gradients, promote the surfing of rare variants into newly occupied territories, induce the structuring of newly colonized areas into distinct sectors of low genetic diversity, or lead to massive introgression of local genes into the genome of an invading species. Interestingly, most of these patterns had been previously attributed to distinct selective processes, showing that taking into account the dynamic nature of a species range can lead to a paradigm shift in our perception of evolutionary processes.",,,,"Foll, Matthieu/A-8561-2014; Excoffier, Laurent/D-3498-2013; Petit, Remy/A-8842-2008; Petit, Remy/AAD-9078-2019","Foll, Matthieu/0000-0001-9006-8436; Excoffier, Laurent/0000-0002-7507-6494; Petit, Remy/0000-0002-4809-1453; ",,,,,,,,,,,,1543-592X,1545-2069,,,,,2009,40,,,,,,481,501,,10.1146/annurev.ecolsys.39.110707.173414,,,,,,,WOS:000272455700023,,,,,,
