Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,Book DOI,Early Access Date,Number of Pages,WoS Categories,Research Areas,IDS Number,UT (Unique WOS ID),Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,
J,"Pozzobon, APB; Goncalves, PR; Anderson, JD; Rocha, LA; de Astarloa, JMD; Di Dario, F",,,,"Pozzobon, Allan Pierre Bonetti; Goncalves, Pablo Rodrigues; Anderson, Joel D.; Rocha, Luiz A.; de Astarloa, Juan M. Diaz; Di Dario, Fabio",,,"Phylogenetic relationships, genetic diversity and biogeography of menhadens, genus Brevoortia (Clupeiformes, Clupeidae)",MOLECULAR PHYLOGENETICS AND EVOLUTION,,,,,,,,,,,,"Brevoortia Gill 1861 is a genus of the Clupeidae (Teleostei) that includes six species of fishes commonly known as menhadens in eastern North America and ?savelhas? or ?saracas? in southeastern South America. Species of Brevoortia are important components of the marine food web of coastal ecosystems in the Atlantic and contribute significantly to fisheries. In this study, the first phylogenetic and biogeographic hypotheses including all species of Brevoortia are presented. A total of 113 specimens were analyzed using three molecular markers (two mitochondrial: COI and 16s; and one nuclear: RAG2). Maximum Parsimony, Maximum Likelihood and Bayesian Inference were employed to estimate phylogenetic relationships. A Bayesian multispecies coalescent approach was used to estimate a dated phylogeny, which supported biogeographic analyses of ancestral geographic ranges. Results corroborate previous hypotheses that the four North Atlantic species are grouped in two clades, one composed of B. tyrannus (Latrobe, 1802) and B. patronus Goode, 1878, and the second including B. smithi Hildebrand, 1941 and B. gunteri Hildebrand, 1948. The South Atlantic B. aurea (Spix and Agassiz, 1829) and B. pectinata (Jenyns, 1842) form a third clade, which is sister to the clade composed of B. smithi and B. gunteri. The monophyly and validity of the six nominal species of Brevoortia were not supported. Results also indicate that Brevoortia originated in the North Atlantic during the middle Miocene (about 15 Mya). A cooling event of the tropical Atlantic at around 10 Mya likely facilitated the range expansion of the genus to the South Atlantic, whereas a significant warming of the tropical Atlantic waters during the late Miocene at 6?7 Mya possibly promoted the isolation between the northern and southern counterparts of that ancestral lineage. The relevance of the Florida Peninsula in association with sea level fluctuations for the diversification within Brevoortia is also discussed.",,,,,,,,,,,,,,,,,1055-7903,1095-9513,,,,JUL,2021,160,,,,,,,,107108,10.1016/j.ympev.2021.107108,,,,,,,WOS:000647570600010,33631353,,,,,
J,"Singer, MC; Parmesan, C",,,,"Singer, Michael C.; Parmesan, Camille",,,Colonizations cause diversification of host preferences: A mechanism explaining increased generalization at range boundaries expanding under climate change,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"As species' poleward range limits expand under climate change, generalists are expected to be better colonists than specialists, extending their ranges faster. This effect of specialization on range shifts has been shown, but so has the reverse cause-effect: in a global meta-analysis of butterfly diets, it was range expansions themselves that caused increases in population-level diet breadth. What could drive this unexpected process? We provide a novel behavioral mechanism by showing that, in a butterfly with extensive ecotypic variation, Edith's checkerspot, diet breadths increased after colonization events as diversification of individual host preferences pulled novel hosts into population diets. Subsequently, populations that persisted reverted toward monophagy. We draw together three lines of evidence from long-term studies of 15 independently evolving populations. First, direct observations showed a significant increase in specialization across decades: in recent censuses, eight populations used fewer host genera than in the 1980s while none used more. Second, behavioral preference-testing experiments showed that extinctions and recolonizations at two sites were followed, at first by diversification of heritable preference ranks and increases in diet breadth, and subsequently by homogenization of preferences and contractions of diet breadth. Third, we found a significant negative association in the 1980s between population-level diet breadth and genetic diversity. Populations with fewer mtDNA haplotypes had broader diets, extending to 3-4 host genera, while those with higher haplotype diversity were more specialized. We infer that diet breadth had increased in younger, recently colonized populations. Preference diversification after colonization events, whether caused by (cryptic) host shifts or by release of cryptic genetic variation after population bottlenecks, provides a mechanism for known effects of range shifts on diet specialization. Our results explain how colonizations at expanding range margins have increased population-level diet breadths, and predict that increasing specialization should accompany population persistence as current range edges become range interiors.",,,,,,,,,,,,,,,,,1354-1013,1365-2486,,,,,,,,,,,,,,,10.1111/gcb.15656,,JUN 2021,,,,,WOS:000656655500001,33896082,,,,,
J,"Sarkar, MS; Niyogi, R; Masih, RL; Hazra, P; Maiorano, L; John, R",,,,"Sarkar, Mriganka Shekhar; Niyogi, Rajashekhar; Masih, Rebecca Lal; Hazra, Poushali; Maiorano, Luigi; John, Robert",,,"Long-distance dispersal and home range establishment by a female sub-adult tiger (Panthera tigris) in the Panna landscape, central India",EUROPEAN JOURNAL OF WILDLIFE RESEARCH,,,,,,,,,,,,"Dispersal from one population to another is crucial for meta-population stability and survival. Long-distance dispersal events have been widely documented in male tigers (Panthera tigris), but similar events in female tigers are less known. We opportunistically recorded a long-distance dispersal event that ended with the establishment of a new home-range for a radio-collared sub-adult female tiger in central India. We analysed the animal's movement patterns during the dispersal event and the subsequent home-range establishment. The average minimum distance and the average minimum daily displacements were 11.4 km and 4.5 km respectively. The total linear and cumulative displacements were 99.1 km and 340.2 km respectively, undertaken over 78 days. Using a Brownian bridge movement model, we showed that the tiger was not moving in a linear path, but showed exploratory movement. During this dispersal event, the tiger traversed an area of 2082 km(2) (95% UD), including 19 distinct 'stepping-stone' habitat patches. Combining the Ornstein-Uhlenbeck movement behaviour model and an autocorrelated kernel density estimation model, we identified a newly established home range of 40.3 km(2) at the end of the dispersal event. Our results describe the longest known female tiger dispersal event, highlighting the possibility that natural dispersal of female tigers can provide an additional option to assisted translocations for the species range expansion. This is relevant in current scenarios where tiger habitats remain fragmented and tiger population numbers are recovering due to effective in situ conservation efforts.",,,,,,,,,,,,,,,,,1612-4642,1439-0574,,,,JUN,2021,67,3,,,,,,,54,10.1007/s10344-021-01494-2,,,,,,,WOS:000649712100001,,,,,,
J,"Martelo, J; da Costa, LM; Ribeiro, D; Gago, J; Magalhaes, MF; Gante, HF; Alves, MJ; Cheoo, G; Gkenas, C; Banha, F; Gama, M; Anastacio, PM; Tiago, PM; Ribeiro, F",,,,"Martelo, Joana; da Costa, Luis M.; Ribeiro, Diogo; Gago, Joao; Magalhaes, Maria Filomena; Gante, Hugo F.; Alves, Maria Judite; Cheoo, Gisela; Gkenas, Christos; Banha, Filipe; Gama, Mafalda; Anastacio, Pedro M.; Tiago, Patricia M.; Ribeiro, Filipe",,,Evaluating the range expansion of recreational non-native fishes in Portuguese freshwaters using scientific and citizen science data,BIOINVASIONS RECORDS,,,,,,,,,,,,"Updating information on the distribution of recently introduced and other poorly known non-natives is essential to prevent and control their spread and better address biological invasions. Here, we combine scientific and citizen science data to update the distribution of five recently arrived (i.e., < 25 years), non-native fish species (Alburnus alburnus, Ameiurus melas, Rutilus rutilus, Sander lucioperca and Silurus glanis) and one rare, longer established (i.e., > 50 years), non-native (Esox lucius) in Portugal. These species have been increasingly targeted by recreational fishermen, thus likely expanding their distribution. Specifically, we obtained distribution maps for each species, based on data gathered through a comprehensive search for records in 1) scientific literature, 2) unpublished reports of research projects, and 3) citizen science databases. We gathered 443 valid records, of which 64% were from citizen science data, mainly provided by recreational fishermen. Data highlighted that all species have expanded their distribution in the last 20 years, with high numbers of new records for A. alburnus, S. lucioperca and S. glanis, mostly located in the Tagus, Guadiana and Douro river basins. Changes in species distributions reflected dispersal within invaded basins and colonisation of previously unoccupied drainages. Integrating citizen science with scientific data provides an effective framework to understand non-native species introduction and spread, stressing the need for increasingly encourage and engage recreational fishermen in information sharing.",,,,"da Costa, Luis Moreira/F-2904-2011; Gkenas, Christos/B-4588-2012; Gago, Joao/O-9584-2015","da Costa, Luis Moreira/0000-0001-5910-7126; Gkenas, Christos/0000-0002-9863-2289; Gago, Joao/0000-0003-3893-5920",,,,,,,,,,,,2242-1300,,,,,JUN,2021,10,2,,,,,378,389,,10.3391/bir.2021.10.2.16,,,,,,,WOS:000640797800016,,,,,,
J,"Kvach, Y; Karavanskyi, Y; Tkachenko, P; Zamorov, V",,,,"Kvach, Yuriy; Karavanskyi, Yuriy; Tkachenko, Pavlo; Zamorov, Veniamin",,,"First record of the invasive Chinese sleeper, Perccottus glenii Dybowski, 1877 (Gobiiformes: Odontobutidae) in the Black Sea",BIOINVASIONS RECORDS,,,,,,,,,,,,"Here, we report on the finding of an Asian invasive fish, the Chinese sleeper (Perccottus glenii), in the Gulf of Yahorlyk in the Black Sea. On 11 October 2019, a single mature Perccottus glenii female was captured in the Gulf, representing the first record of this fish in Black Sea open waters. This observation of an individual distant 100 km from the nearest freshwater population suggests that the Chinese sleeper may be tolerant to mesohaline waters and thus could spread between the riverine mouths along the coast line. If confirmed, it is highly likely that the Chinese sleeper will invade small rivers in southern Ukraine in the near future.",,,,,,,,,,,,,,,,,2242-1300,,,,,JUN,2021,10,2,,,,,411,418,,10.3391/bir.2021.10.2.19,,,,,,,WOS:000640797800019,,,,,,
J,"Kim, HW; Choi, TY; Son, D; Jo, H; Lee, SR",,,,"Kim, Hye-Won; Choi, Tae-Young; Son, Dong; Jo, Hyeryun; Lee, Soo-Rang",,,Sisymbrium irio L. (Brassicaceae): a new alien plant in Korea,BIOINVASIONS RECORDS,,,,,,,,,,,,"As anthropogenic transports of biomaterials have rapidly escalated in the past century, biological invasions have been of great concern on a global scale. Given the exponential growth of alien species passing through the initial point of introduction, reporting an alien species on its initial appearance is important. Sisymbrium irio, an annual herb distributed widely throughout the northern hemisphere, is a notorious weed for its strong invasiveness. In 2016 S. irio was first reported in Korea. The plant was found along the urban expressway, Beonyeong-ro, connecting Busan trading port to Gyeongbu expressway. To properly identify the species, we collected ten S. irio samples from the reported site and examine their morphological characters. The identification key of Sisymbrium irio and its related species in the genus was constructed to clarify taxonomic confusions. We further determined the identity of the taxa by inferring the phylogeny of S. irio and the related taxa. To investigate the distribution changes for the past four years since the first observation in 2016, we monitored the area in late summer of 2020. Both morphological and molecular examinations indicated that the Sisymbrium species we found in Korea for the first time was S. irio. From our site monitoring, we newly found a second distribution site that is approximately 1.5 km away from the original site. Considering the geographical proximity of the introduction sites from the port, we hypothesize that S. irio might started expanding its range by the aid of roads. Given the role of roads as a corridor for alien species, further expansion of S. irio in Korea is expected.",,,,,,,,,,,,,,,,,2242-1300,,,,,JUN,2021,10,2,,,,,453,466,,10.3391/bir.2021.10.2.23,,,,,,,WOS:000640797800023,,,,,,
J,"Horvat, E; Sajna, N",,,,"Horvat, Eva; Sajna, Nina",,,"First record of the Asian seed beetle Megabruchidius dorsalis (Fahraeus, 1839) (Coleoptera, Chrysomelidae, Bruchinae) in Croatia",BIOINVASIONS RECORDS,,,,,,,,,,,,"The seed beetle Megabruchidius dorsalis is an alien species first found in Europe in 1989 in Italy. Since then, it has been recorded in many European countries, developing inside the seeds of the ornamental trees Gleditsia triacanthos and Gymnocladus dioicus. Mature G. triacanthos pods were collected from the ground in Zagreb, Croatia in February 2020. Four adult specimens of M. dorsalis emerged from the collected material by the end of May 2020, which confirms the first record of this species in Croatia. We also provide a temporal distribution map of M. dorsalis and another species, M. tonkineus, in Europe.",,,,,"Sajna, Nina/0000-0002-7830-5424",,,,,,,,,,,,2242-1300,,,,,JUN,2021,10,2,,,,,477,482,,10.3391/bir.2021.10.2.25,,,,,,,WOS:000640797800025,,,,,,
J,"Alshamlih, M; Alzayer, M; Reino, L; Hajwal, F",,,,"Alshamlih, Mohammed; Alzayer, Mohammed; Reino, Luis; Hajwal, Faisal",,,"Pet trade and the introduction of endemic species: the case of the Arabian Serin Crithagra rothschildi Ogilvie-Grant, 1902",BIOINVASIONS RECORDS,,,,,,,,,,,,"Here we report the introduction and first observed breeding of the Arabian Serin Crithagra rothschildi in the eastern Arabian Peninsula. Although this species is the most widely distributed endemic bird in the western highlands of the Arabian Peninsula, this record represents a range expansion of approximately 1200 km beyond its established native range. Breeding was recorded twice, once in 2019 and once 2020, for two different pairs of birds. Early reporting of alien incursions is important, as combating biological invasions is most successful at the introduction stage. These records highlight the role of pet trade as a vector of alien species introductions. They also shed light on the impact that hunting, for the purpose of pet trade, exerts on birds in the western region of the Arabian Peninsula. We suggest that pet market monitoring may help to identify caged birds and prevent new introductions.",,,,,,,,,,,,,,,,,2242-1300,,,,,JUN,2021,10,2,,,,,499,505,,10.3391/bir.2021.10.2.27,,,,,,,WOS:000640797800027,,,,,,
J,"Rato, LD; Crespo, D; Lemos, MFL",,,,"Rato, Lenia D.; Crespo, Daniel; Lemos, Marco F. L.",,,Mechanisms of bioinvasions by coastal crabs using integrative approaches ? A conceptual review,ECOLOGICAL INDICATORS,,,,,,,,,,,,"Crustaceans are amongst the most reported invaders of coastal habitats, and predatory brachyuran crabs one of the most successful marine invasive groups. They hold high tolerance to abiotic stress and their genetic, lifehistory, and behavioural adaptation mechanisms prompt their invasive conspicuousness. However, there is a generalized ambiguity on the specific processes that make these bioinvasions successful. No trait-related patterns have yet been found, mostly since traits attributed solely to non-indigenous crab species lack confirmation by comparison with their native counterparts and across each other. Therefore, this review discusses the available literature on fitness and plasticity of brachyuran crabs under global changes, and advances the increasing importance of addressing native versus non-native invasive species comparisons in the annals of brachyura invasion dynamics. Further on, integrative approaches are highlighted and proposed as innovative tools to disentangle trait-related tolerance, overall crab phenotypic plasticity and further adaptation. These indicator tools will advance the knowledge on crabs? invasive potential, which ultimately affects upcoming population dynamics and ecosystem services, adding value to an effective management of coastal bioinvasions.",,,,,,,,,,,,,,,,,1470-160X,1872-7034,,,,JUN,2021,125,,,,,,41,51,107578,10.1016/j.ecolind.2021.107578,,,,,,,WOS:000637200900004,,,,,,
J,"Schenekar, T; Karrer, M; Karner, I; Weiss, SJ",,,,"Schenekar, Tamara; Karrer, Marlene; Karner, Immanuel; Weiss, Steven J.",,,"Non-invasive diagnostic PCRs for rapid detection of golden jackal, red fox, and gray wolf/domestic dog and application to validate golden jackal presence in Styria, Austria",EUROPEAN JOURNAL OF WILDLIFE RESEARCH,,,,,,,,,,,,"Human-predator conflicts are frequently caused by livestock and/or game depredation. The golden jackal's (Canis aureus) range expansion in Europe, as well as the recent re-expansion of several gray wolf (Canis lupus) populations, might increase risk of such conflicts. In Austria, golden jackal presence has been increasing since the 1990s including reports of wildlife and livestock kills, frequently occurring in the provinces Styria and Burgenland. We developed a rapid, two-step genetic screening protocol to (1) detect canid mtDNA from non-invasively collected samples like swabs from kills using diagnostic PCRs, and (2) assign this DNA to red fox (Vulpes vulpes), golden jackal, or gray wolf/dog. To monitor golden jackal presence in the region, a total of 167 signs of presence were collected over a period of 30 months throughout the Styrian province. Among these, 14 non-invasive genetic samples (13 swabs from kill sites and one scat) were screened with the developed protocol. Four of these samples revealed golden jackal mtDNA and six samples red fox mtDNA. The developed genetic screening protocol represents a quick and inexpensive method to assess canid presence, e.g., at kill sites, and therefore possesses high value for the conservation and wildlife management community.",,,,,"Schenekar, Tamara/0000-0002-4079-8550",,,,,,,,,,,,1612-4642,1439-0574,,,,JUN,2021,67,3,,,,,,,42,10.1007/s10344-021-01488-0,,,,,,,WOS:000640192000001,,,,,,
