"DOI","Topic","value","Journal","Year","citations","influence","Title","Abstract","influenceSTD"
"10.1002/ecy.3134",1,1,"ECOLOGY",2020,5,0.560987469568926,"Thermal evolution of life history and heat tolerance during range expansions toward warmer and cooler regions","Species' range edges are expanding to both warmer and cooler regions. Yet, no studies directly compared the changes in range-limiting traits within the same species during both types of range expansions. To increase our mechanistic understanding of range expansions, it is crucial to disentangle the contributions of plastic and genetic changes in these traits. The aim of this study was to test for plastic and evolutionary changes in heat tolerance, life history, and behavior, and compare these during range expansions toward warmer and cooler regions. Using laboratory experiments we reconstructed the thermal performance curves (TPCurves) of larval life history (survival, growth, and development rates) and larval heat tolerance (CTmax) across two recent range expansions from the core populations in southern France toward a warmer (southeastern Spain) and a cooler (northwestern Spain) region in Europe by the damselflyIschnura elegans. First-generation larvae from field-collected mothers were reared across a range of temperatures (16 degrees-28 degrees C) in incubators. The range expansion to the warmer region was associated with the evolution of a greater ability to cope with high temperatures (increased mean and thermal plasticity of CTmax), faster development, and, in part, a faster growth, indicating a higher time constraints caused by a shorter time frame available for larval development associated with a transition to a greater voltinism. Our results thereby support the emerging pattern that plasticity in heat tolerance alone is inadequate to adapt to new thermal regimes. The range expansion to the cooler region was associated with faster growth indicating countergradient variation without a change in CTmax. The evolution of a faster growth rate during both range expansions could be explained by a greater digestive efficiency rather than an increased food intake. Our results highlight that range expansions to warmer and cooler regions can result in similar evolutionary changes in the TPCurves for life history, and no opposite changes in heat tolerance.",0.00585468294476362
"10.1002/ece3.6335",1,1,"ECOLOGY AND EVOLUTION",2020,5,0.560987469568926,"High dispersal capacity and biogeographic breaks shape the genetic diversity of a globally distributed reef-dwelling calcifier","Understanding the role of dispersal and adaptation in the evolutionary history of marine species is essential for predicting their response to changing conditions. We analyzed patterns of genetic differentiation in the key tropical calcifying species of large benthic foraminifera Amphistegina lobifera to reveal the evolutionary processes responsible for its biogeographic distribution. We collected specimens from 16 sites encompassing the entire range of the species and analyzed hypervariable fragments of the 18S SSU rDNA marker. We identified six hierarchically organized genotypes with mutually exclusive distribution organized along a longitudinal gradient. The distribution is consistent with diversification occurring in the Indo-West Pacific (IWP) followed by dispersal toward the periphery. This pattern can be explained by: (a) high dispersal capacity of the species, (b) habitat heterogeneity driving more recent differentiation in the IWP, and (c) ecological-scale processes such as niche incumbency reinforcing patterns of genotype mutual exclusion. The dispersal potential of this species drives the ongoing range expansion into the Mediterranean Sea, indicating that A. lobifera is able to expand its distribution by tracking increases in temperature. The genetic structure reveals recent diversification and high rate of extinction in the evolutionary history of the clade suggesting a high turnover rate of the diversity at the cryptic level. This diversification dynamic combined with high dispersal potential, allowed the species to maintain a widespread distribution over periods of geological and climatic upheaval. These characteristics are likely to allow the species to modify its geographic range in response to ongoing global warming without requiring genetic differentiation.",0.00585468294476362
"10.1111/1365-2745.13285",1,1,"JOURNAL OF ECOLOGY",2020,10,1.16712327313924,"Temperature thresholds for black mangrove (Avicennia germinans) freeze damage, mortality and recovery in North America: Refining tipping points for range expansion in a warming climate","1. Near the tropical-temperate transition zone, warming winter temperatures are expected to facilitate the poleward range expansion of freeze-sensitive tropical organisms. In coastal wetlands of eastern and central North America, freeze-sensitive woody plants (mangroves) are expected to expand northward into regions currently dominated by freeze-tolerant herbaceous salt marsh plants. To advance understanding of mangrove range expansion, there is a need to refine temperature thresholds for mangrove freeze damage, mortality and recovery. 2. We integrated data from 38 sites spread across the mangrove range edge in the Gulf of Mexico and Atlantic coasts of North America, including data from a regional collaborative network - the Mangrove Migration Network. In 2018, an extreme freeze event affected 60% of these sites, with minimum temperatures ranging from 0 to -7 degrees C. 3. We used temperature and vegetation data from before and after the freeze to quantify temperature thresholds for leaf damage, mortality and biomass recovery of the black mangrove (Avicennia germinans) - the most freeze-tolerant mangrove species in North America. 4. For A. germinans individuals near their northern range limit, our results indicate that temperature thresholds for leaf damage are close to -4 degrees C, but temperature thresholds for mortality are closer to -7 degrees C. Thresholds are expected to be warmer for more southern A. germinans individuals and for the other two common mangrove species in the region (Laguncularia racemosa and Rhizophora mangle). Regenerative buds allowed A. germinans to resprout and recover quickly from above-ground freeze damage. Hence, biomass recovery levels during the first post-freeze growing season were 90%, 78%, 62% and 45% for temperatures of -4, -5, -6 and -7 degrees C, respectively. Due to a combination of vigorous resprouting and new recruitment from propagules, we expect full recovery at most sites within 1-3 years, assuming no further freeze events. 5. Synthesis. To improve predictions of tropical range expansion in response to climate change, there is a need to better understand tropical species' responses to winter temperature extremes. Collectively, our results refine temperature thresholds for A. germinans freeze damage, mortality and recovery, which can improve predictions of mangrove range expansion and coastal wetland ecological transformations in a warming climate.",0.201762767889733
"10.1086/705993",1,1,"AMERICAN NATURALIST",2020,10,1.16712327313924,"Evolution of Dispersal Can Rescue Populations from Expansion Load","Understanding the causes and consequences of range expansions or range shifts has a long history in evolutionary biology. Recent theoretical, experimental, and empirical work has identified two particularly interesting phenomena in the context of species range expansions: (i) gene surfing and the relaxation of natural selection and (ii) spatial sorting. The former can lead to an accumulation of deleterious mutations at range edges, causing an expansion load and slowing down expansion. The latter can create gradients in dispersal-related traits along the expansion axis and cause an acceleration of expansion. We present a theoretical framework that treats spatial sorting and gene surfing as spatial versions of natural selection and genetic drift, respectively. This model allows us to analytically study how gene surfing and spatial sorting interact and derive the probability of fixation of pleiotropic mutations at the expansion front. We use our results to predict the coevolution of mean fitness and dispersal rates, taking into account the effects of random genetic drift, natural selection, and spatial sorting, as well as correlations between fitness- and dispersal-related traits. We identify a rescue effect of spatial sorting, where the evolution of higher dispersal rates at the leading edge rescues the population from incurring expansion load.",0.201762767889733
"10.1111/evo.13914",1,1,"EVOLUTION",2020,5,0.560987469568926,"Host plant adaptation during contemporary range expansion in the monarch butterfly","Herbivores that have recently expanded their host plant ranges provide opportunities to test hypotheses about the evolution of host plant specialization. Here, we take advantage of the contemporary global range expansion of the monarch butterfly (Danaus plexippus) and conduct a reciprocal rearing experiment involving monarch populations with divergent host plant assemblages. Specifically, we ask the following questions: (1) Do geographically disparate populations of monarch butterflies show evidence for local adaptation to their host plants? If so, what processes contribute to this pattern? (2) How is dietary breadth related to performance across multiple host species in monarch populations? (3) Does the coefficient of variation in performance vary across sympatric versus allopatric hosts? We find evidence for local adaptation in larval growth rate and survival based on sympatric/allopatric contrasts. Migratory North American monarchs, which have comparatively broad host breadth, have higher mean performance than derived nonmigratory populations across all host plant species. Monarchs reared on their sympatric host plants show lower coefficient of variation in performance than monarchs reared on allopatric hosts. We focus our discussion on possible mechanisms contributing to local adaptation to novel host plants and potential explanations for the reduction in performance that we observed in derived monarch populations.",0.00585468294476362
"10.1111/gcb.14842",1,1,"GLOBAL CHANGE BIOLOGY",2020,7,0.848669542020707,"Winter climate change and the poleward range expansion of a tropical invasive tree (Brazilian pepper-Schinus terebinthifolius)","Winter climate change is expected to lead to the tropicalization of temperate ecosystems, where tropical species expand poleward in response to a decrease in the intensity and duration of winter temperature extremes (i.e., freeze events). In the southeastern United States, freezing temperatures control the northern range limits of many invasive nonnative species. Here, we examine the influence of freezing temperatures and winter climate change on the northern range limits of an invasive nonnative tree-Schinus terebinthifolius (Brazilian pepper). Since introduction in the 1800s, Brazilian pepper has invaded ecosystems throughout south and central Florida to become the state's most widespread nonnative plant species. Although Brazilian pepper is sensitive to freezing temperatures, temperature controls on its northern distribution have not been adequately quantified. We used temperature and plant occurrence data to quantify the sensitivity of Brazilian pepper to freezing temperatures. Then, we examined the potential for range expansion under three alternative future climate scenarios (+2 degrees C, +4 degrees C, and +6 degrees C). Our analyses identify a strong nonlinear sigmoidal relationship between minimum temperature and Brazilian pepper presence, with a discrete threshold temperature occurring near -11 degrees C. Our future scenario analyses indicate that, in response to warming winter temperatures, Brazilian pepper is expected to expand northward and transform ecosystems in north Florida and across much of the Gulf of Mexico and south Atlantic coasts of the United States. These results underscore the importance of early detection and rapid response efforts to identify and manage the northward invasion of Brazilian pepper in response to climate change. Looking more broadly, our work highlights the need to anticipate and prepare for the tropicalization of temperate ecosystems by tropical invasive species.",0.0988358986311759
"10.1038/s41559-019-0972-5",1,1,"NATURE ECOLOGY & EVOLUTION",2019,32,1.70609400366438,"A checklist for maximizing reproducibility of ecological niche models","Reporting specific modelling methods and metadata is essential to the reproducibility of ecological studies, yet guidelines rarely exist regarding what information should be noted. Here, we address this issue for ecological niche modelling or species distribution modelling, a rapidly developing toolset in ecology used across many aspects of biodiversity science. Our quantitative review of the recent literature reveals a general lack of sufficient information to fully reproduce the work. Over two-thirds of the examined studies neglected to report the version or access date of the underlying data, and only half reported model parameters. To address this problem, we propose adopting a checklist to guide studies in reporting at least the minimum information necessary for ecological niche modelling reproducibility, offering a straightforward way to balance efficiency and accuracy. We encourage the ecological niche modelling community, as well as journal reviewers and editors, to utilize and further develop this framework to facilitate and improve the reproducibility of future work. The proposed checklist framework is generalizable to other areas of ecology, especially those utilizing biodiversity data, environmental data and statistical modelling, and could also be adopted by a broader array of disciplines.",0.37596254793345
"10.1111/ecog.04499",1,1,"ECOGRAPHY",2019,11,0.694493091985898,"Recalculating route: dispersal constraints will drive the redistribution of Amazon primates in the Anthropocene","Climate change will redistribute the global biodiversity in the Anthropocene. As climates change, species might move from one place to another, due to local extinctions and colonization of new environments. However, the existence of permeable migratory routes precedes faunal migrations in fragmented landscapes. Here, we investigate how dispersal will affect the outcome of climate change on the distribution of Amazon's primate species. We modeled the distribution of 80 Amazon primate species, using ecological niche models, and projected their potential distribution on scenarios of climate change. Then, we imposed landscape restrictions to primate dispersal, derived from a natural biogeographical barrier to primates (the main tributaries of the Amazon river) and an anthropogenic constraint to the migration of many canopy-dependent animals (deforested areas). We also highlighted potential conflict zones, i.e. regions of high migration potential but predicted to be deforested. Species response to climate change varied across dispersal limitation scenarios. If species could occupy all newly suitable climate, almost 70% of species could expand ranges. Including dispersal barriers (natural and anthropogenic), however, led to range expansion in only less than 20% of the studied species. When species were not allowed to migrate, all of them lost an average of 90% of the suitable area, suggesting that climate may become unsuitable within their present distributions. All Amazon primate species may need to move as climate changes to avoid deleterious effects of exposure to non-analog climates. The effect of climate change on the distribution of Amazon primates will ultimately depend on whether landscape permeability will allow climate-driven faunal migrations. The network of protected areas in the Amazon could work as 'stepping stones' but most are outside important migratory routes. Therefore, protecting important dispersal corridors is foremost to allow effective migrations of the Amazon fauna in face of climate change and deforestation.",0.0490047999037614
"10.1111/1365-2435.13310",1,1,"FUNCTIONAL ECOLOGY",2019,32,1.70609400366438,"Tropicalisation of temperate reefs: Implications for ecosystem functions and management actions","Temperate reefs from around the world are becoming tropicalised, as warm-water species shift their distribution towards the poles in response to warming. This is already causing profound shifts in dominant foundation species and associated ecological communities as canopy seaweeds such as kelp are replaced by tropical species. Here, we argue that the cascading consequences of tropicalisation for the ecosystem properties and functions of warming temperate reefs depend largely on the taxa that end up dominating the seafloor. We put forward three potential tropicalisation trajectories, that differ in whether seaweeds, turf or corals become dominant. We highlight potential gains to certain ecosystem functions for some tropicalisation endpoints. For example, local benthic fish productivity may increase in some tropicalised reefs as a higher proportion of primary production is directly consumed, but this will be at the expense of other functions such as carbon export. We argue that understanding these changes in flows of energy and materials is essential to formulate new conservation strategies and management approaches that minimise risks as well as capture potential opportunities. Regardless of which trajectory is followed, tropicalised systems represent largely novel ecosystem configurations. This poses major challenges to traditional conservation and environmental management approaches, which typically focus on maintaining or returning species to particular locations. We outline management practices that may either mitigate predicted structural and functional changes or make the most of potential new opportunities in tropicalised reefs. These include marine protected areas to increase resilience and connectivity, the development of new fisheries that target range-expanding invaders, and assisted evolution and migration strategies to facilitate the dominance of large habitat formers like corals or seaweeds. We highlight important ecological and ethical challenges associated with developing novel approaches to manage tropicalised reefs, which may need to become increasingly interventionist. As technological innovations continue to emerge, having clear goals and considering the ethics surrounding interventions among the broader community are essential steps to successfully develop novel management approaches. A plain language summary is available for this article.",0.37596254793345
"10.1086/703112",1,1,"AMERICAN NATURALIST",2019,22,1.34508065812705,"Macroevolutionary Patterning in Glucocorticoids Suggests Different Selective Pressures Shape Baseline and Stress-Induced Levels","Glucocorticoid (GC) hormones are important phenotypic mediators across vertebrates, but their circulating concentrations can vary markedly. Here we investigate macroevolutionary patterning in GC levels across tetrapods by testing seven specific hypotheses about GC variation and evaluating whether the supported hypotheses reveal consistent patterns in GC evolution. If selection generally favors the supportive role of GCs in responding effectively to challenges, then baseline and/or stress-induced GCs may be higher in challenging contexts. Alternatively, if selection generally favors protection from GC-induced costs, GCs may be lower in environments where challenges are more common or severe. The predictors of baseline GCs were all consistent with supportive effects: levels were higher in smaller organisms and in those inhabiting more energetically demanding environments. During breeding, baseline GCs were also higher in populations and species with fewer lifetime opportunities to reproduce. The predictors of stress-induced GCs were instead more consistent with the protection hypothesis: during breeding, levels were lower in organisms with fewer lifetime reproductive opportunities. Overall, these patterns indicate a surprising degree of consistency in how some selective pressures shape GCs across broad taxonomic scales; at the same time, in challenging environments selection appears to operate on baseline and stress-induced GCs in distinct ways.",0.259280060696759
"10.1111/evo.13704",1,1,"EVOLUTION",2019,10,0.607481714996269,"Hybridization and introgression during density-dependent range expansion: European wildcats as a case study","Interbreeding between historically allopatric species with incomplete reproductive barriers may result when species expand their range. The genetic consequences of such hybridization depend critically on the dynamics of the range expansion. Hybridization models during range expansion have been developed but assume dispersal to be independent from neighboring population densities. However, organisms may disperse because they are attracted by conspecifics or because they prefer depopulated areas. Here, through spatially explicit simulations, we assess the effect of various density-dependent dispersal modes on the introgression between two species. We find huge introgression from the local species into the invasive one with all dispersal modes investigated, even when the hybridization rate is relatively low. This represents a general expectation for neutral genes even if the dispersal modes differ in colonization times and amount of introgression. Invasive individuals attracted by conspecifics need more time to colonize the whole area and are more introgressed by local genes, whereas the opposite is found for solitary individuals. We applied our approach to a recent expansion of European wildcats in the Jura Mountains and the hybridization with domestic cats. We show that the simulations explained better the observed level of introgression at nuclear, mtDNA, and Y chromosome markers, when using solitary dispersal for wildcats instead of random or gregarious dispersal, in accordance with ecological knowledge. Thus, use of density-dependent dispersal models increases the predictive power of the approach.",0.0208820060775992
"10.1111/ddi.12890",1,1,"DIVERSITY AND DISTRIBUTIONS",2019,28,1.57688227218437,"Integrating climate and land-use change scenarios in modelling the future spread of invasive squirrels in Italy","Aim The establishment and spread of invasive alien species may be influenced by several mutually interacting factors, whose understanding is paramount to develop effective biosecurity policies. However, studies focused on modelling spatially explicit patterns of future invasion risk have so far focused on species response to climate change impacts, while land-use change has been neglected. We investigated how the interplay between climate and land-use change could affect the future potential distribution and dispersal corridors of four alien squirrels introduced to Europe (Sciurus carolinensis, Callosciurus finlaysonii, Callosciurus erythraeus and Eutamias sibiricus). Location and Methods Our study was conducted in Italy. We used Species Distribution Models and circuit theory methods to test whether future scenarios based only on climate change predict a different effect on range and connectivity of alien squirrel populations, compared to scenarios that include both climate and land-use changes. Results Scenarios based only on climate change predicted a range increase and a high geographic stability (>50%) for most species, with different, yet limited, effects on connectivity corridors. Conversely, scenarios based on both climate and land-use change showed a loss in range extent and a low geographic stability (<50%) of both range and dispersal corridors for most species. Main conclusions Scenarios considering both climate and land-use change provide predictions on invasion risk that overturn those including only climate change. The effect of global warming alone would lead to a considerable range expansion of all species. Conversely, when land-use change is added, a potential loss in suitable habitat and dispersal corridors is predicted for alien squirrels, hence limiting their range expansion. We recommend using multiple drivers in models to obtain reliable predictions for implementing biosecurity policies related to invasive alien species.",0.334200251897534
"10.1111/geb.12726",1,1,"GLOBAL ECOLOGY AND BIOGEOGRAPHY",2018,21,0.832668672406843,"Misleading prioritizations from modelling range shifts under climate change","Aim: Conservation planning requires the prioritization of a subset of taxa and geographical locations to focus monitoring and management efforts. Integration of the threats and opportunities posed by climate change often relies on predictions from species distribution models, particularly for assessments of vulnerability or invasion risk for multiple taxa. We evaluated whether species distribution models could reliably rank changes in species range size under climate and land use change. Location: Conterminous U.S.A. Time period: 1977-2014. Major taxa studied: Passerine birds. Methods: We estimated ensembles of species distribution models based on historical North American Breeding Bird Survey occurrences for 190 songbirds, and generated predictions to recent years given c.35 years of observed land use and climate change. We evaluated model predictions using standard metrics of discrimination performance and a more detailed assessment of the ability of models to rank species vulnerability to climate change based on predicted range loss, range gain, and overall change in range size. Results: Species distribution models yielded unreliable and misleading assessments of relative vulnerability to climate and land use change. Models could not accurately predict range expansion or contraction, and therefore failed to anticipate patterns of range change among species. These failures occurred despite excellent overall discrimination ability and transferability to the validation time period, which reflected strong performance at the majority of locations that were either always or never occupied by each species. Main conclusions: Models failed for the questions and at the locations of greatest interest to conservation and management. This highlights potential pitfalls of multi-taxa impact assessments under global change; in our case, models provided misleading rankings of the most impacted species, and spatial information about range changes was not credible. As modelling methods and frameworks continue to be refined, performance assessments and validation efforts should focus on the measures of risk and vulnerability useful for decision-making.",0.0936642857598657
"10.1111/geb.12713",1,1,"GLOBAL ECOLOGY AND BIOGEOGRAPHY",2018,18,0.686065198214967,"Rare long-distance dispersal of a marine angiosperm across the Pacific Ocean","Aim: Long-distance dispersal (LDD) events occur rarely but play a fundamental role in shaping species biogeography. Lying at the heart of island biogeography theory, LDD relies on unusual events to facilitate colonization of new habitats and range expansion. Despite the importance of LDD, it is inherently difficult to quantify due to the rarity of such events. We estimate the probability of LDD of the seagrass Heterozostera nigricaulis, a common Australian species, across the Pacific Ocean to colonize South America. Location: Coastal Chile, Australia and the Pacific Ocean. Methods: Genetic analyses of H.nigricaulis collected from Chile and Australia were used to assess the relationship between the populations and levels of clonality. Ocean surface current models were used to predict the probability of propagules dispersing from south-east Australia to central Chile and shipping data used to determine the likelihood of anthropogenic dispersal. Results: Our study infers that the seagrass H.nigricaulis dispersed from Australia across the entire width of the Pacific (c.14,000 km) to colonize South America on two occasions. Genetic analyses reveal that these events led to two large isolated clones, one of which covers a combined area of 3.47 km(2). Oceanographic models estimate the arrival probability of a dispersal propagule within 3 years to be at most 0.00264%. Early shipping provides a potential alternative dispersal vector, yet few ships sailed from SE Australia to Chile prior to the first recording of H.nigricaulis and the lack of more recent and ongoing introductions demonstrate the rarity of such dispersal. Main conclusions: These findings demonstrate LDD does occur over extreme distances despite very low probabilities. The large number of propagules (100s of millions) produced over 100s of years suggests that the arrival of propagules in Chile was inevitable and confirms the importance of LDD for species distributions and community ecology.",0.0462808352096164
"10.1146/annurev-ecolsys-110617-062654",1,1,"ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 49",2018,63,1.9005093024082,"The Ecology and Evolution of Alien Plants","We review the state of the art of alien plant research with emphasis on conceptual advances and knowledge gains on general patterns and drivers, biotic interactions, and evolution. Major advances include the identification of different invasion stages and invasiveness dimensions (geographic range, habitat specificity, local abundance) and the identification of appropriate comparators while accounting for propagule pressure and year of introduction. Developments in phylogenetic and functional trait research bear great promise for better understanding of the underlying mechanisms. Global patterns are emerging with propagule pressure, disturbance, increased resource availability, and climate matching as major invasion drivers, but species characteristics also play a role. Biotic interactions with resident communities shape invasion outcomes, with major roles for species diversity, enemies, novel weapons, and mutualists. Mounting evidence has been found for rapid evolution of invasive aliens and evolutionary responses of natives, but a mechanistic understanding requires tighter integration of molecular and phenotypic approaches. We hope the open questions identified in this review will stimulate further research on the ecology and evolution of alien plants.",0.438799174043572
"10.1002/fee.1754",1,1,"FRONTIERS IN ECOLOGY AND THE ENVIRONMENT",2018,41,1.4792958373319,"Bark beetles as agents of change in social-ecological systems","Due to recent outbreaks of native bark beetles, forest ecosystems have experienced substantial changes in landscape structure and function, which also affect nearby human populations. As a result, land managers have been tasked with sustaining ecosystem services in impacted areas by considering the best available science, public perceptions, and monitoring data to develop strategies to suppress bark beetle epidemics, and in some cases to restore affected lands and ecosystem services. The effects of bark beetle outbreaks are often detrimental to the provision of ecosystem services, including degraded landscape aesthetics and diminished air and water quality. However, there have been instances where bark beetle outbreaks have benefited communities by, for example, improving habitat for grazing animals and enhancing real-estate values. As a consequence of the interaction of a warming climate and susceptible forest stand conditions, the frequency, severity, and extent of bark beetle outbreaks are expected to increase and therefore will continue to challenge many social-ecological systems. We synthesize experiences from recent outbreaks to encourage knowledge transfer from previously impacted communities to potentially vulnerable locations that may be at risk from future bark beetle epidemics.",0.302659512254791
